nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000266338.6,-0.531592158,-2.661231724,-0.050148652,0.041343398,0.061949869,0.728634133,3.85E-16,0.49523891,0.672600443,0.535695924,0.544799202,0,0.742506479
ENSG00000227372.11,-1.332186622,-2.94396075,-0.008534164,-0.060840081,0.102140992,0.408414761,5.18E-12,0.934055998,0.459471949,0.362373949,0.361595827,0,0.669817154
ENSG00000265491.4,-0.385989946,-5.503101173,0.01932283,-0.002581315,0.026486262,0.348458234,7.05E-13,0.46830955,0.939831005,0.333082579,0.333194705,0,0.652215355
ENSG00000131788.15,0.680060642,NA,-0.000158851,-0.153466321,-0.041992369,0.447500198,NA,0.997122757,0.308497672,0.49477434,0.494572685,1,0.725489132
ENSG00000265241.6,-0.996794709,-5.375043074,0.041109601,0.154879861,0.065572068,0.096612739,3.86E-12,0.193948612,0.232557303,0.105060487,0.110975473,0,0.451801824
ENSG00000235169.7,3.452792087,-3.349392955,-0.185365011,0.000996457,-0.31075947,0.040206695,5.09E-12,0.00452819,0.995608254,0.006673069,0.005393767,0,0.093225029
ENSG00000265972.5,0.119204946,-7.119463887,-0.004044612,0.002135147,-0.002612889,0.1892336,0,0.351593469,0.622194693,0.669276199,0.669606234,0,0.77217576
ENSG00000264343.5,-0.731969728,-1.946747025,-0.10903931,0.014838939,0.031357836,0.61797991,1.17E-20,0.367414507,0.875177254,0.752858461,0.752510705,0,0.795664373
ENSG00000268043.7,0.785061523,-3.29929861,0.140685096,-0.049460002,-0.040639203,0.27218146,2.89E-45,0.000809407,0.188288455,0.398479903,0.399620585,0,0.686851145
ENSG00000131791.7,0.714417138,-6.649965909,0.016889831,-0.012179785,-0.038381971,0.032869415,0.001010321,0.568869341,0.687202776,0.087941223,0.09061493,0,0.416731961
ENSG00000130764.9,0.533569121,-5.447344735,0.006069368,-0.026958872,-0.044193524,0.034711413,8.77E-56,0.707588136,0.46331185,0.009277653,0.010188922,0,0.140785892
ENSG00000131778.18,1.502705006,-5.396194638,-0.00103022,-0.007129408,-0.08481414,1.09E-07,4.09E-44,0.964153233,0.769628607,6.83E-06,8.28E-06,0,0.00080073
ENSG00000116128.10,0.941745934,-4.446104895,-0.008288344,-0.022619801,-0.060621743,0.320237117,6.45E-05,0.887753206,0.543740816,0.339411194,0.345691052,0,0.660049813
ENSG00000162836.11,0.02567439,-4.783614081,-0.04872102,-0.029294446,0.000512667,0.953607261,2.43E-30,0.113683571,0.414665541,0.986296276,0.986294686,0,0.836126385
ENSG00000263956.6,0.075952741,-2.933338777,0.093828655,0.093859929,0.024417307,0.930273086,9.67E-37,0.079598264,0.178328468,0.670310902,0.669434946,0,0.77217576
ENSG00000274020.2,-0.72799431,-4.820905403,0.021352557,-0.017731643,0.041792828,0.125936778,2.24E-31,0.656095209,0.615818065,0.193133322,0.197730935,0,0.557668448
ENSG00000231551.8,3.01424903,-3.753951236,-0.046615,-0.079526528,-0.18534742,0.006962631,1.58E-13,0.610622555,0.024399228,0.015898302,0.016739889,0,0.188270837
ENSG00000225871.2,1.969759874,NA,-0.144957699,-0.164834343,-0.124481166,0.116924008,NA,0.050154148,0.447724457,0.140898985,0.140048794,1,0.490988436
ENSG00000270629.5,3.290824502,-0.502238306,-0.070400758,-4.264096373,-0.304264179,0.591421249,0.156095548,0.874851613,0.33689629,0.461405058,0.468474672,0,0.713871547
ENSG00000178104.19,0.105573526,NA,0.111029878,0.009784474,-0.009781206,0.892494763,NA,0.195006124,0.840844354,0.852520155,0.852518633,1,0.814971931
ENSG00000269713.7,-1.473082252,-1.051419912,0.289655721,0.062044355,0.126086334,0.641308023,2.40E-05,0.149459404,0.328125982,0.558477931,0.544787128,0,0.742506479
ENSG00000274265.4,-0.072731971,-2.706081747,-0.446581867,-0.077434648,0.032987169,0.971590625,1.11E-05,0.17686648,0.288373869,0.809190498,0.815058433,0,0.81042615
ENSG00000271383.6,2.322765736,-3.282320965,-0.006699264,-0.800580916,-0.152299285,0.134017699,6.38E-26,0.938962673,0.277282658,0.146173681,0.164369821,0,0.523023616
ENSG00000116198.12,-1.563080211,-6.721071355,-0.00140954,-0.00160668,0.084808036,6.96E-07,1.49E-05,0.945914615,0.927318111,5.35E-05,6.95E-05,0,0.004018982
ENSG00000150337.13,-0.899194746,-2.1527046,0.007648014,-1.585914799,-0.002557792,0.78334481,5.30E-08,0.976098661,0.551649471,0.991322155,0.991567015,0,0.837181795
ENSG00000203814.6,-1.214725584,-3.210613119,0.154508701,0.035173244,0.100777606,0.161756352,5.92E-56,0.00703098,0.827056723,0.081594286,0.083596702,0,0.402907213
ENSG00000261716.1,1.254879492,-4.743397563,0.02664032,0.03441081,-0.06208459,0.268486365,4.14E-07,0.605422617,0.911760759,0.415953049,0.415742522,0,0.692006234
ENSG00000169598.15,0.901479399,NA,-0.007661543,0.156045293,-0.050641624,0.139063998,NA,0.862861617,0.101082544,0.211539327,0.211238212,1,0.567918922
ENSG00000178096.8,1.283139101,-5.401963392,0.333666221,-0.064579613,-0.075981769,0.356652893,0.080010746,0.066422734,0.832907425,0.41381723,0.415200761,0,0.692006234
ENSG00000143368.9,0.166022331,-6.307403335,-0.062634263,0.93847934,0.011393942,0.854106766,0.000109351,0.399018851,0.084578291,0.857437945,0.857591032,0,0.816247912
ENSG00000198912.10,-0.364397478,-5.568339888,-0.124785817,-0.017685113,0.006877388,0.37632868,1.37E-15,0.00042496,0.453142744,0.802880485,0.803625737,0,0.80817305
ENSG00000023902.13,0.97493948,NA,0.047695159,-0.042233926,-0.064263738,0.071506511,NA,0.083218914,0.661515056,0.073255513,0.073051545,1,0.382258744
ENSG00000143401.14,-0.511343219,NA,0.165459709,-0.038385112,0.032112952,0.316828055,NA,0.437058953,0.65789065,0.346593242,0.346535577,1,0.660896673
ENSG00000117362.12,-0.176807706,-7.355927606,-0.009540673,-0.020583576,0.01778366,0.583075604,0.000314904,0.677346884,0.078835448,0.414468449,0.421856634,0,0.694837466
ENSG00000266472.5,-0.084691673,-6.079746518,-0.014561941,-0.062123771,-0.006282117,0.797474702,4.14E-19,0.522405117,0.015006996,0.77457296,0.774651702,0,0.800004408
ENSG00000117360.12,-0.346001717,-5.648561032,0.029231857,-0.067830571,0.03035681,0.409058507,3.22E-16,0.13226504,0.006680364,0.278290989,0.278390766,0,0.620837894
ENSG00000163125.15,0.397885902,NA,0.020032804,0.041419524,-0.01762919,0.195279957,NA,0.430663587,0.086459914,0.391451952,0.391385122,1,0.683512914
ENSG00000143374.16,-0.667993973,-3.710448485,-0.059330767,-0.006527965,0.033290465,0.361660201,7.54E-29,0.264178286,0.911082936,0.493881451,0.493792981,0,0.725489132
ENSG00000143369.14,-0.646685304,-5.189738037,-0.099286595,-1.101600076,0.009523881,0.789780343,0.223681812,0.684968071,0.465364207,0.951542949,0.951726152,0,0.831830949
ENSG00000237781.3,0.101333058,-2.970641111,0.011999359,0.049392875,-0.021748377,0.899126619,1.66E-43,0.848488549,0.589025081,0.685909747,0.684722133,0,0.77723088
ENSG00000143382.14,0.566522252,-2.965643464,0.148192108,0.222371764,-0.006875447,0.569922319,1.38E-41,0.004968862,0.492933546,0.918733681,0.919238437,0,0.826052933
ENSG00000203804.4,1.473401428,-3.464916693,-0.066892439,0.012707357,-0.073221529,0.171828129,3.29E-16,0.493663317,0.80512635,0.32242402,0.320539823,0,0.644453919
ENSG00000143384.12,0.328454256,-6.738284234,0.005763846,-0.000684012,-0.01238534,0.017882191,7.54E-187,0.649976231,0.923901326,0.185913428,0.185978927,0,0.547054613
ENSG00000143420.18,-0.299003442,-5.264448259,0.051508861,0.025839614,0.025383373,0.346238777,2.96E-55,0.075967241,0.119347233,0.232566635,0.235357487,0,0.584492344
ENSG00000143457.10,-1.256707185,-5.822355392,-0.021656645,0.005497132,0.072687888,0.022500752,7.22E-05,0.637919475,0.888722532,0.049803151,0.052264361,0,0.331374391
ENSG00000131697.17,0.392918502,-5.072983867,0.010468115,0.046778855,-0.014206924,0.450272846,5.10E-10,0.779875053,0.266477475,0.683451346,0.683328401,0,0.776416153
ENSG00000163131.10,0.375256376,-4.878152382,0.005754707,-0.018621797,-0.016370009,0.088555165,0,0.75361338,0.48031748,0.26922004,0.270106286,0,0.615097108
ENSG00000143437.20,0.201595552,NA,0.004572992,-0.005248051,-0.007968249,0.506680249,NA,0.874131612,0.77263489,0.696623539,0.696618428,1,0.780999107
ENSG00000143379.12,-1.160287791,NA,0.436600624,0.255016847,0.086475251,0.468980383,NA,0.082802442,0.292480669,0.420975196,0.420034218,1,0.694235065
ENSG00000143418.19,0.371250612,-7.992436871,-0.026826027,-0.017027194,-0.019758473,0.014321511,1.04E-11,0.046067032,0.314055434,0.05299037,0.058718842,0,0.346308033
ENSG00000143409.15,-0.097726309,-6.416234999,-0.005919591,-0.014162654,0.011526608,0.680338421,1.14E-40,0.63095654,0.368061604,0.481039754,0.484311071,0,0.722406465
ENSG00000143363.15,-0.019751557,NA,-0.004192459,0.029192412,0.010188691,0.970185589,NA,0.925496625,0.224888381,0.775420592,0.775429221,1,0.800004408
ENSG00000163141.18,1.317387651,NA,-0.032806294,0.250015628,-0.060294338,0.412451641,NA,0.771161074,0.344666623,0.586323541,0.58592455,1,0.752251758
ENSG00000069424.14,-0.045482745,-4.872302193,-0.034311919,0.008960091,-0.002074666,0.787813341,0,0.002889884,0.464488648,0.855760888,0.855780656,0,0.816042107
ENSG00000197622.12,-0.364237761,-5.86593892,-0.030359345,-0.015335172,0.029185036,0.356169503,5.84E-37,0.118955912,0.773303212,0.272954747,0.272865059,0,0.617680846
ENSG00000213190.3,0.477845721,-6.511667749,0.007113684,-0.021889091,-0.019536934,0.167878411,3.46E-06,0.762109258,0.323099634,0.406516381,0.41467819,0,0.692006234
ENSG00000143458.11,-2.373559897,NA,-0.017974929,0.073789326,0.141254171,0.068807048,NA,0.781503207,0.797319278,0.103678865,0.10326427,1,0.439490982
ENSG00000143434.15,-0.203123123,-5.942571342,0.004571702,0.066363608,0.005852361,0.780515319,0.016094393,0.910482338,0.366681151,0.901892777,0.904539303,0,0.824309317
ENSG00000163154.5,-0.185860327,-4.077466039,-0.146016265,0.101076394,-0.014382154,0.829816455,2.23E-15,0.002826318,0.003510281,0.80837978,0.812714806,0,0.810040794
ENSG00000143398.19,0.228830874,NA,0.048271602,-0.199896091,-0.020840957,0.721517268,NA,0.502569783,0.058374126,0.629155258,0.629138454,1,0.76395381
ENSG00000159352.15,-0.088446873,-6.012859939,0.011227082,-0.004207355,0.002069692,0.600664128,1.77E-141,0.661065745,0.909044856,0.856705376,0.856698368,0,0.816080903
ENSG00000232671.5,-4.086403247,NA,0.394858466,-0.040104883,0.262436964,0.108172832,NA,0.040972716,0.886823605,0.141065215,0.138220413,1,0.488673109
ENSG00000143373.17,-0.020996052,-5.534666685,-0.052798684,0.002662909,0.004374973,0.942774579,2.58E-36,0.000623874,0.894674455,0.826783237,0.827022395,0,0.813431948
ENSG00000143393.16,-0.0353735,-5.748583228,-0.015240715,0.064965507,0.000304828,0.926760557,2.30E-12,0.603053756,0.657433963,0.990604444,0.99058611,0,0.837181795
ENSG00000143390.17,-0.257607131,NA,0.011887051,0.050576558,0.021262629,0.591607835,NA,0.691906274,0.199365176,0.49903268,0.499023775,1,0.727245671
ENSG00000143416.20,0.095761587,-4.164537506,-0.138906218,0.660414647,-0.015254263,0.904937333,2.78E-33,0.021342992,0.200871799,0.775689776,0.776337563,0,0.800004408
ENSG00000159377.10,0.063477681,-6.696319962,-0.016677166,-0.013804097,-0.0009009,0.598598218,1.11E-157,0.261467793,0.027994446,0.911920451,0.911968968,0,0.825899821
ENSG00000143442.21,0.05621521,-6.579061941,-0.045617147,0.003539003,0.007704009,0.906964885,0.000124459,0.148348291,0.776765095,0.81117209,0.81218848,0,0.80986759
ENSG00000143367.15,0.710102694,NA,0.034749517,-0.101229577,-0.041240794,0.375520799,NA,0.430680861,0.434956026,0.446209025,0.446009014,1,0.706381189
ENSG00000116251.9,0.275771824,NA,0.119133856,-0.401402134,-0.011262127,0.701663449,NA,0.090320063,0.520774423,0.818964433,0.818952013,1,0.810521165
ENSG00000143376.12,-0.0570926,-8.453050873,0.000755747,-0.007022993,0.001430351,0.64764253,1.36E-09,0.923303168,0.409442089,0.866337762,0.866448597,0,0.818089838
ENSG00000143436.10,0.228867172,NA,-0.01467194,-0.033409644,-0.010668534,0.613647971,NA,0.620775986,0.882064989,0.716853751,0.716847958,1,0.7862119
ENSG00000182134.15,-0.882531727,-8.175038435,-0.035346248,0.169319875,0.043546817,0.26184885,0.697663202,0.38909786,0.11203108,0.392133082,0.395978019,0,0.684894173
ENSG00000159445.12,-0.179920681,-5.208014746,-0.030441248,0.071357834,-0.016388837,0.699533613,9.92E-17,0.223085085,0.481538315,0.597463308,0.599251001,0,0.755501242
ENSG00000197747.8,0.043810641,-4.074363664,0.06118566,0.015994141,0.010038294,0.97145672,1.05E-09,0.485522671,0.800448458,0.905307801,0.906238972,0,0.824769923
ENSG00000158286.12,-4.600134661,-2.691660229,0.553544725,-3.428008099,0.319477725,0.270305754,0.000162898,0.074209945,0.358597126,0.222660797,0.224444671,0,0.575753053
ENSG00000163191.5,0.670835246,-5.731198637,0.002078689,-0.688255433,-0.054769479,0.126553738,1.11E-49,0.95317744,0.029097606,0.092222094,0.09554005,0,0.424987652
ENSG00000163209.14,1.536772039,-1.682177511,-0.159384256,-0.015541585,-0.076130546,0.199706022,7.54E-31,0.113598701,0.94152866,0.343217436,0.35144853,0,0.663320589
ENSG00000163220.10,-0.644854608,-2.662012331,0.090612079,0.058153498,0.02767211,0.583570834,2.00E-30,0.123800655,0.300078643,0.729026018,0.732357823,0,0.790125756
ENSG00000163221.8,-0.775772792,-3.675546143,-0.052600845,0.021074268,0.017692555,0.074615724,8.03E-178,0.115306727,0.400263512,0.549993705,0.552520449,0,0.744534385
ENSG00000143546.9,0.559262056,-4.750183446,-0.00602806,0.057466706,-0.025007515,0.040218889,1.60E-180,0.764011665,0.032852696,0.182179942,0.182498254,0,0.54358155
ENSG00000116237.15,0.01255305,-4.692718881,0.013057152,-0.008503124,0.031629879,0.988275318,9.67E-15,0.682154985,0.842399938,0.580634845,0.57983254,0,0.751095801
ENSG00000197956.9,-0.365994153,-4.156998445,-0.067378871,0.027406538,0.01044616,0.750154165,1.07E-17,0.262422389,0.533267638,0.886741351,0.886679727,0,0.821280928
ENSG00000196154.11,-6.569631151,-2.158376104,-0.581133378,3.757610864,0.471832679,0.029345959,4.43E-11,0.111780959,0.06109269,0.023468353,0.024168275,0,0.227142491
ENSG00000189171.14,0.374723073,-5.285557385,-0.051543808,-1.073493859,-0.004658981,0.870395455,0.330951395,0.783054273,0.570849484,0.976942864,0.977132693,0,0.835230634
ENSG00000158292.6,1.122728299,-5.188254655,0.000917311,-0.110158492,-0.060314172,0.284457985,0.000278814,0.982284378,0.021272867,0.382697138,0.385021295,0,0.681223586
ENSG00000160679.12,0.001706333,-7.661193767,-0.187543312,-0.10067998,0.013634757,0.995150527,0.000117264,0.297288897,0.157004998,0.453285216,0.457417455,0,0.710714146
ENSG00000143553.10,-0.233089346,-6.164108055,-0.022683623,0.018121386,0.012180288,0.392651421,1.96E-15,0.29373102,0.355964657,0.510621766,0.510830783,0,0.730537869
ENSG00000143624.13,0.583434374,-8.588742439,0.000244892,-0.175310765,-0.036447326,0.03435055,0.141041507,0.988296796,0.080388902,0.053954116,0.055744277,0,0.34105713
ENSG00000143554.13,0.910038553,NA,-0.049700672,0.605524867,-0.066412863,0.153298354,NA,0.132109479,0.002949885,0.121114154,0.120895243,1,0.466554465
ENSG00000143614.9,-0.004080805,NA,-0.004421525,-0.001499649,-0.003643162,0.976533996,NA,0.723843864,0.922844498,0.695385029,0.695385771,1,0.780999107
ENSG00000198837.9,-0.346619262,-5.688228125,0.057944928,-0.072960643,0.036741311,0.540776783,1.69E-09,0.062304681,0.142288062,0.335689291,0.343873627,0,0.658828274
ENSG00000160741.16,-0.093972682,-9.281955955,0.026936184,0.006075866,0.014828172,0.600487375,0.014838872,0.016146475,0.562841232,0.219792068,0.235208484,0,0.584492344
ENSG00000143570.17,-0.413860771,NA,0.017955875,-0.036605352,0.035134555,0.406508301,NA,0.443885933,0.23278222,0.305790501,0.305735988,1,0.637319944
ENSG00000097021.19,-1.29729096,NA,0.104012221,-1.570197504,0.068394705,0.493526002,NA,0.322581253,0.101457676,0.583954633,0.58360165,1,0.751446389
ENSG00000143578.15,-2.315766026,NA,0.036969775,0.483717551,0.14208673,0.172730103,NA,0.758488186,0.088728736,0.208958303,0.208245777,1,0.56664047
ENSG00000143543.14,0.115050864,-6.801794024,0.083352693,-0.494546267,0.000254524,0.841902395,1.45E-07,0.056612224,0.275804345,0.995005718,0.99498353,0,0.837745543
ENSG00000143545.8,-0.989468708,NA,-1.192939333,-0.055120877,0.080063283,0.440323085,NA,0.611158515,0.883351766,0.183999859,0.182982986,1,0.543956585
ENSG00000143549.19,-0.545656874,-6.766250059,0.088310298,-0.00663127,0.030871692,0.012687408,2.58E-54,0.403992337,0.972006312,0.036989046,0.041871671,0,0.301997537
ENSG00000143612.19,-0.325887668,NA,0.009872668,-0.018810653,0.020936707,0.383557834,NA,0.554087436,0.565985259,0.402280465,0.402254209,1,0.68847102
ENSG00000143569.18,0.322432961,NA,-0.028313593,-0.006718704,-0.027593109,0.252364318,NA,0.203286143,0.720462428,0.141262746,0.141254558,1,0.492731409
ENSG00000187017.15,-3.263273828,-2.450695374,-0.125371256,0.053208078,0.136565587,0.046756428,1.59E-17,0.122629336,0.39258216,0.212216536,0.205081034,0,0.563691721
ENSG00000143575.14,0.340309641,-6.99306032,-0.008841821,-0.003361328,-0.015661093,0.305660806,1.92E-05,0.790896066,0.905796444,0.478889156,0.479832628,0,0.72054624
ENSG00000143595.12,-0.151948393,NA,-0.060380584,0.35002564,0.040879598,0.894213899,NA,0.751306511,0.359710885,0.589950053,0.589922857,1,0.752947465
ENSG00000143515.16,0.449494869,-9.132683649,-0.034479147,-0.006984192,-0.023265077,0.086534946,0.226248356,0.153082285,0.752417655,0.181637659,0.18165232,0,0.542449172
ENSG00000160712.12,-0.120059573,-5.232575066,0.014457501,-0.015466522,0.019301674,0.524504635,3.03E-246,0.254774618,0.184572465,0.134970365,0.136107246,0,0.486633671
ENSG00000160714.9,-1.423094053,-8.652033903,-0.026996672,-0.368383489,0.090885362,0.053899961,0.715251588,0.657016302,0.122522538,0.062690277,0.117091469,0,0.460185871
ENSG00000160710.15,0.264043459,-7.593465713,0.0062835,-0.006795825,-0.008611633,2.99E-05,0,0.154318615,0.084529898,0.043617945,0.045076055,0,0.311617924
ENSG00000163344.5,0.339078474,NA,-0.013977813,0.067887949,-0.012373211,0.230767854,NA,0.318398302,0.122365926,0.508896319,0.508856003,1,0.729993636
ENSG00000215788.9,-0.97927216,-4.391747956,0.026043096,0.371247392,0.095217689,0.21818022,3.99E-19,0.600163748,0.427255973,0.079632517,0.087447618,0,0.40956342
ENSG00000163346.16,0.032113325,-10.29753209,-0.013939341,0.001874344,0.001251268,0.678560518,0.013337341,0.02300253,0.787315997,0.809865341,0.809998187,0,0.809172834
ENSG00000163348.3,0.679712239,-8.578876304,-0.027955749,-0.023933925,-0.038404718,0.269295688,0.65337239,0.448451491,0.933534007,0.347395462,0.348764528,0,0.662332175
ENSG00000160691.18,-0.341620931,NA,-0.030050702,-0.021218685,0.010483043,0.132809168,NA,0.036478205,0.844420723,0.493610441,0.493600784,1,0.725489132
ENSG00000160688.18,-2.855098117,NA,-0.012971046,-0.212049874,0.171850073,0.278531963,NA,0.89615083,0.661452885,0.303241212,0.302009366,1,0.636667405
ENSG00000160685.13,-0.031710694,-7.513628611,0.0119752,-0.000356393,-0.000876189,0.660642079,3.06E-193,0.010541431,0.943622465,0.859268265,0.859266785,0,0.816327205
ENSG00000143537.13,0.892570221,-5.086548923,0.063772203,-0.005003065,-0.042497906,7.75E-05,2.09E-143,1.29E-05,0.894048968,0.00497719,0.005283546,0,0.092122861
ENSG00000171680.21,-0.675383493,-4.139407872,-0.040971114,1.495420828,0.090189014,0.749086949,1.27E-05,0.674678534,0.108967566,0.508689465,0.509126445,0,0.730055179
ENSG00000169242.11,0.721730561,-5.507280805,0.05460656,-0.222310488,-0.032022713,0.629482941,0.016802168,0.734787863,0.090307134,0.757148425,0.75732577,0,0.797273198
ENSG00000163463.11,0.798606656,NA,0.738563629,-0.521942004,-0.080064732,0.483284057,NA,0.597677942,0.49571441,0.286235459,0.285738653,1,0.622716314
ENSG00000169231.13,0.292929618,-6.600607639,0.014554024,0.198201378,0.013324789,0.690018815,0.140891192,0.770544786,0.642711719,0.785843131,0.785853543,0,0.803258487
ENSG00000173171.14,0.855937204,NA,0.009002643,0.190015132,-0.044003661,0.183309523,NA,0.870376283,0.059809603,0.308738214,0.308720684,1,0.63875967
ENSG00000162408.10,-0.673534803,NA,0.038249024,0.015677253,0.052341981,0.109133243,NA,0.053840026,0.655778977,0.061305123,0.061250965,1,0.352640818
ENSG00000160766.14,-1.997533165,-4.145306834,-0.016889632,-0.214148031,0.147507977,0.106620083,2.34E-06,0.868253397,0.052436278,0.072014018,0.073586896,0,0.383096612
ENSG00000236675.1,-0.525266666,-6.338766463,0.045904073,0.069271444,0.020610772,0.069661729,2.88E-10,0.006834603,0.001535449,0.295026822,0.295694724,0,0.631893147
ENSG00000177628.15,-0.091253206,-2.74582941,-0.190491134,-0.231698127,-0.007716244,0.890381866,1.50E-71,1.18E-07,0.001529118,0.863884001,0.863211981,0,0.817664503
ENSG00000160767.20,0.076436298,NA,-0.068670213,0.276992372,0.007501385,0.940222594,NA,0.541272857,0.804518221,0.915072715,0.9150784,1,0.825899821
ENSG00000116521.10,0.130348664,-7.162797399,-0.020626699,-0.003099123,-0.011703945,0.579701544,2.52E-07,0.103210568,0.850523401,0.452530447,0.452555949,0,0.708855172
ENSG00000176444.18,0.852226432,NA,0.087846918,-1.162314988,-0.07020157,0.700740858,NA,0.57301303,0.278172592,0.647911483,0.64774692,1,0.767991101
ENSG00000143627.17,-0.472876,NA,-0.019691926,0.914310035,0.0640627,0.805466165,NA,0.906666292,0.414616436,0.604476744,0.604320991,1,0.756638611
ENSG00000204859.12,0.038577829,-4.333161018,-0.072297242,0.053051702,-0.018384847,0.952474779,9.54E-20,0.061003383,0.579260755,0.674019455,0.67478517,0,0.772753272
ENSG00000116539.12,0.925865057,NA,-0.005199025,-0.078741677,-0.071640439,0.340383045,NA,0.916853944,0.224647375,0.276540686,0.276254685,1,0.619132183
ENSG00000163374.19,0.195108726,-3.490384498,0.078440983,-0.113447985,-0.008188106,0.751262548,4.64E-57,0.151349493,0.637430509,0.842761175,0.842851434,0,0.814449832
ENSG00000132676.15,-0.125529913,-7.302581396,0.022652749,-0.007273453,0.002305651,0.624637874,0.000374676,0.229490831,0.710636216,0.892830375,0.892922978,0,0.821644675
ENSG00000116580.18,2.821795712,NA,-0.219049357,0.199492819,-0.183883969,0.124288682,NA,0.030644506,0.236858808,0.127040342,0.126061239,1,0.473369351
ENSG00000162413.16,0.022934283,-6.691922511,-0.002025548,0.008094094,0.003556207,0.86549838,2.84E-97,0.863099777,0.443444439,0.702699657,0.702785492,0,0.783031669
ENSG00000132718.8,-0.57074272,NA,0.024091477,-0.00359358,0.027390758,0.546962013,NA,0.628351176,0.945655445,0.662381384,0.662295038,1,0.77101341
ENSG00000143622.10,-0.128681286,-6.823467037,0.022136937,0.014751276,0.022964037,0.576119573,4.23E-14,0.119585705,0.20740759,0.145311248,0.145931315,0,0.49874545
ENSG00000132680.10,1.872975452,-6.513355629,-0.089789892,0.325209478,-0.135519518,0.26514397,0.445243712,0.534867121,0.799155281,0.204001287,0.204215729,0,0.562960098
ENSG00000116584.17,0.119814202,-7.181773354,0.001395074,-5.67E-05,0.000520262,0.516835677,3.77E-19,0.951112695,0.99952585,0.966602546,0.966607018,0,0.834681958
ENSG00000273002.1,0.520261006,NA,-2.950182663,-0.289792585,0.010969025,0.708336879,NA,0.046669246,0.798958792,0.900356097,0.900361192,1,0.822896699
ENSG00000163479.13,0.705190617,-7.791614368,0.048124863,-0.028691968,-0.03703133,0.143422851,6.63E-05,0.02773797,0.222413053,0.249999655,0.258564495,0,0.606896214
ENSG00000160803.7,0.46399201,-6.097641311,-0.273064966,-0.034678692,-0.015755628,0.39028745,0.000108387,0.444957986,0.637739202,0.62583497,0.626778729,0,0.76395381
ENSG00000116586.11,0.643670319,NA,0.047795715,-0.000269044,-0.038286514,0.057188448,NA,0.045507385,0.994804634,0.096408818,0.096351483,1,0.426209519
ENSG00000160789.19,-0.041977515,-4.149307568,0.010146124,-0.088336476,-0.021979012,0.945922635,1.54E-64,0.699225008,0.345814359,0.599208275,0.601350986,0,0.755964399
ENSG00000116273.5,1.047739543,NA,-0.006414895,0.018676157,-0.05290341,0.064262427,NA,0.854928358,0.736143635,0.164385385,0.164101825,1,0.522948578
ENSG00000196189.12,-0.46859853,-5.405616191,-0.004415981,-0.042959897,0.018134804,0.000691422,0,0.678567993,8.18E-05,0.053457748,0.053536202,0,0.334435869
ENSG00000160785.13,0.232277176,-7.054900578,-0.011989725,-0.00692363,-0.008373424,0.055760006,2.65E-92,0.066372008,0.398153898,0.3126997,0.312808954,0,0.640141706
ENSG00000160783.19,0.51431817,-5.568238157,0.061348941,-0.001271126,-0.028516026,0.013807237,1.95E-143,7.57E-07,0.944931354,0.041000955,0.041033124,0,0.299713619
ENSG00000160781.15,-0.331568856,-1.913342658,0.065315615,0.02146914,0.082241273,0.756641424,4.64E-41,0.284764367,0.789519107,0.262493987,0.262795396,0,0.610880408
ENSG00000198952.8,3.379211328,-3.741919971,-0.050002873,0.044746032,-0.186530259,7.25E-30,0,0.009812487,0.027077823,8.83E-21,1.20E-18,0,2.77E-15
ENSG00000163472.18,0.685576468,-4.52318582,-0.033063128,-0.014832786,-0.026204951,0.206749215,1.90E-19,0.282781746,0.71022034,0.476170707,0.476637446,0,0.718684441
ENSG00000198715.11,3.939393827,-3.509075899,-0.004073203,0.031738972,-0.200529696,1.01E-14,4.10E-151,0.9030472,0.405140615,3.63E-09,9.14E-09,0,2.55E-06
ENSG00000163468.14,0.877806238,-6.879124453,0.01309934,-0.027367429,-0.052429414,0.029630835,0.00013098,0.700476671,0.445168909,0.047996824,0.066692718,0,0.367169827
ENSG00000041988.15,0.192213908,-7.272455986,0.006295757,-0.035992949,-0.003509247,0.547268903,0.032332839,0.749780978,0.31711388,0.869388493,0.869460595,0,0.818089838
ENSG00000116604.17,0.101954213,-7.013116419,0.020112149,-0.00880877,-0.010032686,0.674609334,4.51E-14,0.136133007,0.438247184,0.536704032,0.538185593,0,0.741188315
ENSG00000183856.10,-1.5764451,NA,0.064292027,-0.114474693,0.090254959,0.440449504,NA,0.713008951,0.656294667,0.508466486,0.507505469,1,0.729780748
ENSG00000163382.11,-0.252467493,-6.111917488,0.024238624,-0.039459253,0.007158824,0.563612084,5.58E-20,0.182394055,0.463719385,0.803513826,0.80446461,0,0.8083986
ENSG00000160818.16,-0.38936168,NA,0.007332366,-0.017662111,0.022020112,0.431077592,NA,0.807384171,0.525635223,0.49787459,0.497811601,1,0.72641341
ENSG00000143319.16,0.232990232,-9.179349754,-0.026624318,0.05028337,-0.010551431,0.541450697,0.67911918,0.183402017,0.337664914,0.678664969,0.678764759,0,0.773817832
ENSG00000143303.11,-0.81103642,NA,0.036062036,0.116673726,0.074798833,0.648789627,NA,0.666243823,0.506475459,0.535971813,0.535943596,1,0.74071435
ENSG00000007923.15,-0.231673304,NA,0.049211176,-0.004035289,0.010029212,0.689605925,NA,0.112687087,0.968782363,0.795145174,0.795136613,1,0.805450987
